identifier,description_identifier,question,sparql,answer,answer_id,id_sparql
Crane_02,Crane,What answer is reached by this graph path: Crane --kg:beIn--> English?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'crane')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'english')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",English,wd:Q1860,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q16865841> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q1860>)
} LIMIT 1"
Crane_03,Crane,What answer is reached by this graph path: Crane --kg:beOf--> German?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'crane')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'german')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",German,wd:Q188,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q16865841> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q188>)
} LIMIT 1"
Bank_01,Bank,What answer is reached by this graph path: bank --kg:create--> Demand?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'bank')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'demand')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Demand,wd:Q37500962,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q22687> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q37500962>)
} LIMIT 1"
Bank_02,Bank,What answer is reached by this graph path: bank --kg:create--> deposit?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'bank')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'deposit')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",deposit,wd:Q5260774,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q22687> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q5260774>)
} LIMIT 1"
Bank_03,Bank,What answer is reached by this graph path: bank --kg:make--> Loans?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'bank')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'loans')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Loans,wd:Q6663494,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q22687> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q6663494>)
} LIMIT 1"
Bat_01,Bat,What answer is reached by this graph path: Bath --kg:be--> city?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'bath')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'city')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",city,wd:Q515,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q22889> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q515>)
} LIMIT 1"
Bat_02,Bat,What answer is reached by this graph path: Baton Rouge --kg:be--> city?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'baton rouge')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'city')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",city,wd:Q515,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q28218> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q515>)
} LIMIT 1"
Bat_03,Bat,What answer is reached by this graph path: Bath --kg:beIn--> Somerset?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'bath')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'somerset')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Somerset,wd:Q67461071,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q22889> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q67461071>)
} LIMIT 1"
Date_01,Date,What answer is reached by this graph path: calendar date --kg:be--> reference?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'calendar date')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'reference')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",reference,wd:Q121769,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q205892> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q121769>)
} LIMIT 1"
Date_02,Date,What answer is reached by this graph path: calendar date --kg:beTo--> Day?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'calendar date')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'day')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Day,wd:Q5242796,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q205892> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q5242796>)
} LIMIT 1"
Date_03,Date,What answer is reached by this graph path: calendar date --kg:perform--> day?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'calendar date')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'day')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",day,wd:Q573,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q205892> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q573>)
} LIMIT 1"
Spring_01,Spring,What answer is reached by this graph path: spring --kg:beAt--> groundwater?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'spring')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'groundwater')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",groundwater,wd:Q161598,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q124714> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q161598>)
} LIMIT 1"
Spring_02,Spring,What answer is reached by this graph path: spring --kg:emergeFrom--> aquifer?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'spring')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'aquifer')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",aquifer,wd:Q208791,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q124714> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q208791>)
} LIMIT 1"
Spring_03,Spring,What answer is reached by this graph path: spring --kg:flowAcross--> Surface?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'spring')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'surface')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Surface,wd:Q37497814,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q124714> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q37497814>)
} LIMIT 1"
Turkey_01,Turkey,What answer is reached by this graph path: Turkey --kg:locateIn--> Anatolia?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'turkey')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'anatolia')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Anatolia,wd:Q20678374,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q43> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q20678374>)
} LIMIT 1"
Turkey_02,Turkey,What answer is reached by this graph path: Turkey --kg:locateIn--> West?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'turkey')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'west')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",West,wd:Q2564123,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q43> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q2564123>)
} LIMIT 1"
Turkey_03,Turkey,What answer is reached by this graph path: Turkey --kg:locateIn--> Asia?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'turkey')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'asia')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Asia,wd:Q48,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q43> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q48>)
} LIMIT 1"
Phoenix_01,Phoenix,What answer is reached by this graph path: Phoenix --kg:be--> Populous?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'phoenix')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'populous')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Populous,wd:Q1082849,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q16556> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q1082849>)
} LIMIT 1"
Phoenix_02,Phoenix,What answer is reached by this graph path: Phoenix --kg:be--> city?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'phoenix')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'city')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",city,wd:Q515,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q16556> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q515>)
} LIMIT 1"
Phoenix_03,Phoenix,What answer is reached by this graph path: Phoenix --kg:be--> Minor?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'phoenix')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'minor')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Minor,wd:Q16877187,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q10441> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q16877187>)
} LIMIT 1"
Mustang_01,Mustang,What answer is reached by this graph path: North American P-51 Mustang --kg:be--> Long Range?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'north american p-51 mustang')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'long range')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Long Range,wd:Q80183430,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q192075> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q80183430>)
} LIMIT 1"
Mustang_02,Mustang,What answer is reached by this graph path: North American P-51 Mustang --kg:be--> single-seat fighter?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'north american p-51 mustang')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'single-seat fighter')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",single-seat fighter,wd:Q135214932,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q192075> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q135214932>)
} LIMIT 1"
Mustang_03,Mustang,What answer is reached by this graph path: North American P-51 Mustang --kg:be--> Fighter Bomber?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'north american p-51 mustang')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'fighter bomber')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Fighter Bomber,wd:Q5447839,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q192075> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q5447839>)
} LIMIT 1"
Shell_01,Shell,What answer is reached by this graph path: Shell --kg:headquarterIn--> London?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'shell')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'london')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",London,wd:Q84,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q154950> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q84>)
} LIMIT 1"
Shell_02,Shell,What answer is reached by this graph path: Shell --kg:headquarter--> England?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'shell')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'england')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",England,wd:Q21,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q154950> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q21>)
} LIMIT 1"
Shell_03,Shell,What answer is reached by this graph path: Shell --kg:be--> limited company?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'shell')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'limited company')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",limited company,wd:Q33685,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q154950> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q33685>)
} LIMIT 1"
Delta_01,Delta,What answer is reached by this graph path: Delta State --kg:beIn--> South South?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'delta state')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'south south')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",South South,wd:Q30599787,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q503910> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q30599787>)
} LIMIT 1"
Delta_02,Delta,What answer is reached by this graph path: Delta State --kg:beIn--> Zone?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'delta state')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'zone')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Zone,wd:Q37440729,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q503910> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q37440729>)
} LIMIT 1"
Delta_03,Delta,What answer is reached by this graph path: Delta State --kg:beOf--> Nigeria?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'delta state')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'nigeria')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Nigeria,wd:Q1033,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q503910> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q1033>)
} LIMIT 1"
Car_Automobile_01,Car-Automobile,What answer is reached by this graph path: Carina --kg:be--> ConStellation?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'carina')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'constellation')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",ConStellation,wd:Q4637694,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q10470> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q4637694>)
} LIMIT 1"
Car_Automobile_02,Car-Automobile,What answer is reached by this graph path: Carina --kg:beIn--> sky?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'carina')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'sky')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",sky,wd:Q527,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q10470> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q527>)
} LIMIT 1"
